,natemis,Antr+BB,Totemis,ch4lifetime_fact,Conc,Trend
1950,215.0,145.69132180652684,360.69132180652684,1.0488608866700293,1155.475899753805,
1951,215.0,161.13354968984004,376.13354968984004,1.0455466626386185,1155.9218530328744,0.44595327906949933
1952,215.0,166.62191102563256,381.6219110256326,1.0435105097854591,1157.9333740906723,2.011521057797836
1953,215.0,171.91703072490478,386.91703072490475,1.0405455939203825,1161.177550476507,3.244176385834635
1954,215.0,176.79220711205573,391.79220711205573,1.044295794488673,1166.0872819746608,4.90973149815386
1955,215.0,181.34715698739865,396.34715698739865,1.037508489961066,1171.261449182314,5.174167207653227
1956,215.0,187.46573470613905,402.4657347061391,1.028116236302615,1176.8914266974607,5.62997751514672
1957,215.0,193.03725401591896,408.03725401591896,1.0421601616543277,1185.280508103274,8.389081405813386
1958,215.0,195.54960059426637,410.5496005942664,1.048657602665344,1194.2938774586337,9.0133693553596
1959,215.0,200.03622198438438,415.0362219843844,1.036391182649435,1202.4981171271825,8.20423966854878
1960,215.0,204.79639047797613,419.79639047797616,1.0366828171259594,1211.4259215828408,8.927804455658361
1961,215.0,212.86841715028493,427.8684171502849,1.0360169714873653,1221.9939574877928,10.568035904952012
1962,215.0,215.12824201953555,430.12824201953555,1.0483804322861743,1233.5397129995888,11.54575551179596
1963,215.0,224.30469040409875,439.3046904040988,1.0443546910580446,1246.4469929948607,12.907279995271892
1964,215.0,224.85182666796288,439.8518266679629,1.0448466365780047,1258.1974959749978,11.750502980137071
1965,215.0,231.1541510557357,446.1541510557357,1.0416887487729276,1270.4149244285607,12.217428453562889
1966,215.0,234.98671085357168,449.9867108535717,1.045021997433171,1282.9695576184572,12.554633189896549
1967,215.0,241.20109717557358,456.2010971755736,1.0453696087467055,1296.2767736419491,13.307216023491947
1968,215.0,244.3906480044528,459.3906480044528,1.0399298066040126,1308.5671823936736,12.290408751724499
1969,215.0,248.42869324337278,463.4286932433728,1.044521823964872,1321.4156592749678,12.848476881294118
1970,215.0,253.8529606879682,468.8529606879682,1.0439258467327728,1334.6096338940035,13.193974619035771
1971,215.0,257.52620629587904,472.52620629587904,1.0436193741341604,1347.5627796934261,12.9531457994226
1972,215.0,264.8182405958808,479.8182405958808,1.0520906785217377,1362.571222986975,15.008443293548908
